title,text,subject,date
Real headline 1,Federal Reserve announces interest rate decision. Official statement released. Markets react. 0,business,Jan 1 2020
Real headline 2,Study published in peer-reviewed journal. Researchers report findings. Methodology included. 1,health,Feb 2 2020
Real headline 3,Election results certified by state officials. Multiple sources confirm. 2,politics,Mar 3 2020
Real headline 4,Company reports quarterly earnings. SEC filing available. 3,business,Apr 4 2020
Real headline 5,UN agency releases climate report. Data from multiple countries. 4,world,May 5 2020
Real headline 6,Hospital announces new treatment. Clinical trial results. 5,health,Jun 6 2020
Real headline 7,Government agency issues guidelines. Document link provided. 6,politics,Jul 7 2020
Real headline 8,Sports league confirms schedule. Official press release. 7,sports,Aug 8 2020
Real headline 9,Scientists publish research. Journal name and DOI cited. 8,health,Sep 9 2020
Real headline 10,Court ruling published. Legal citation and summary. 9,politics,Oct 10 2020
Real headline 1,Federal Reserve announces interest rate decision. Official statement released. Markets react. 10,business,Jan 1 2020
Real headline 2,Study published in peer-reviewed journal. Researchers report findings. Methodology included. 11,health,Feb 2 2020
Real headline 3,Election results certified by state officials. Multiple sources confirm. 12,politics,Mar 3 2020
Real headline 4,Company reports quarterly earnings. SEC filing available. 13,business,Apr 4 2020
Real headline 5,UN agency releases climate report. Data from multiple countries. 14,world,May 5 2020
Real headline 6,Hospital announces new treatment. Clinical trial results. 15,health,Jun 6 2020
Real headline 7,Government agency issues guidelines. Document link provided. 16,politics,Jul 7 2020
Real headline 8,Sports league confirms schedule. Official press release. 17,sports,Aug 8 2020
Real headline 9,Scientists publish research. Journal name and DOI cited. 18,health,Sep 9 2020
Real headline 10,Court ruling published. Legal citation and summary. 19,politics,Oct 10 2020
Real headline 1,Federal Reserve announces interest rate decision. Official statement released. Markets react. 0,business,Jan 1 2020
Real headline 2,Study published in peer-reviewed journal. Researchers report findings. Methodology included. 1,health,Feb 2 2020
Real headline 3,Election results certified by state officials. Multiple sources confirm. 2,politics,Mar 3 2020
Real headline 4,Company reports quarterly earnings. SEC filing available. 3,business,Apr 4 2020
Real headline 5,UN agency releases climate report. Data from multiple countries. 4,world,May 5 2020
Real headline 6,Hospital announces new treatment. Clinical trial results. 5,health,Jun 6 2020
Real headline 7,Government agency issues guidelines. Document link provided. 6,politics,Jul 7 2020
Real headline 8,Sports league confirms schedule. Official press release. 7,sports,Aug 8 2020
Real headline 9,Scientists publish research. Journal name and DOI cited. 8,health,Sep 9 2020
Real headline 10,Court ruling published. Legal citation and summary. 9,politics,Oct 10 2020
Real headline 1,Federal Reserve announces interest rate decision. Official statement released. Markets react. 10,business,Jan 1 2020
