title,text,subject,date
Fake headline 1,Breaking: Celebrity scandal rocks Hollywood. Exclusive unverified claims spread online. Sources say nothing confirmed. 0,politics,Jan 1 2020
Fake headline 2,Virus cure found in secret lab. Doctors refuse to comment. Share immediately. 1,world,Feb 2 2020
Fake headline 3,Politician caught in lie. No evidence provided. Click for more. 2,politics,Mar 3 2020
Fake headline 4,Aliens land in city. Government hides truth. 3,entertainment,Apr 4 2020
Fake headline 5,Stock market crash tomorrow. Insiders selling. Forward to everyone. 4,business,May 5 2020
Fake headline 6,Miracle drug cures all. Big pharma blocking it. 5,health,Jun 6 2020
Fake headline 7,Election fraud proof. Anonymous source. Unverified. 6,politics,Jul 7 2020
Fake headline 8,Celebrity death hoax. Ignore fact checkers. 7,entertainment,Aug 8 2020
Fake headline 9,Secret deal exposed. No documents. Trust us. 8,world,Sep 9 2020
Fake headline 10,Crisis manufactured. Mainstream media lying. 9,politics,Oct 10 2020
Fake headline 1,Breaking: Celebrity scandal rocks Hollywood. Exclusive unverified claims spread online. Sources say nothing confirmed. 10,politics,Jan 1 2020
Fake headline 2,Virus cure found in secret lab. Doctors refuse to comment. Share immediately. 11,world,Feb 2 2020
Fake headline 3,Politician caught in lie. No evidence provided. Click for more. 12,politics,Mar 3 2020
Fake headline 4,Aliens land in city. Government hides truth. 13,entertainment,Apr 4 2020
Fake headline 5,Stock market crash tomorrow. Insiders selling. Forward to everyone. 14,business,May 5 2020
Fake headline 6,Miracle drug cures all. Big pharma blocking it. 15,health,Jun 6 2020
Fake headline 7,Election fraud proof. Anonymous source. Unverified. 16,politics,Jul 7 2020
Fake headline 8,Celebrity death hoax. Ignore fact checkers. 17,entertainment,Aug 8 2020
Fake headline 9,Secret deal exposed. No documents. Trust us. 18,world,Sep 9 2020
Fake headline 10,Crisis manufactured. Mainstream media lying. 19,politics,Oct 10 2020
Fake headline 1,Breaking: Celebrity scandal rocks Hollywood. Exclusive unverified claims spread online. Sources say nothing confirmed. 0,politics,Jan 1 2020
Fake headline 2,Virus cure found in secret lab. Doctors refuse to comment. Share immediately. 1,world,Feb 2 2020
Fake headline 3,Politician caught in lie. No evidence provided. Click for more. 2,politics,Mar 3 2020
Fake headline 4,Aliens land in city. Government hides truth. 3,entertainment,Apr 4 2020
Fake headline 5,Stock market crash tomorrow. Insiders selling. Forward to everyone. 4,business,May 5 2020
Fake headline 6,Miracle drug cures all. Big pharma blocking it. 5,health,Jun 6 2020
Fake headline 7,Election fraud proof. Anonymous source. Unverified. 6,politics,Jul 7 2020
Fake headline 8,Celebrity death hoax. Ignore fact checkers. 7,entertainment,Aug 8 2020
Fake headline 9,Secret deal exposed. No documents. Trust us. 8,world,Sep 9 2020
Fake headline 10,Crisis manufactured. Mainstream media lying. 9,politics,Oct 10 2020
Fake headline 1,Breaking: Celebrity scandal rocks Hollywood. Exclusive unverified claims spread online. Sources say nothing confirmed. 10,politics,Jan 1 2020
Fake headline 2,Virus cure found in secret lab. Doctors refuse to comment. Share immediately. 11,world,Feb 2 2020
Fake headline 3,Politician caught in lie. No evidence provided. Click for more. 12,politics,Mar 3 2020
Fake headline 4,Aliens land in city. Government hides truth. 13,entertainment,Apr 4 2020
Fake headline 5,Stock market crash tomorrow. Insiders selling. Forward to everyone. 14,business,May 5 2020
